Objects
240
,,Global Angle (Quaternion) boxbox:boxbox,,,,,,,
Frame,Sub Frame,RX,RY,RZ,RW,TX,TY,TZ
,,,,,,mm,mm,mm
73,0,0.003428,0.003393,-0.029638,0.999549,1379.684326,-78.196274,1068.430176
74,0,0.003193,0.003247,-0.029791,0.999546,1379.785156,-78.377602,1068.290771
75,0,0.002997,0.003060,-0.030051,0.999539,1379.868042,-78.567772,1068.150269
76,0,0.002816,0.002845,-0.030263,0.999534,1379.945068,-78.744247,1068.008423
77,0,0.002628,0.002690,-0.030490,0.999528,1380.032959,-78.892525,1067.847290
78,0,0.002463,0.002461,-0.030834,0.999518,1380.089233,-79.068741,1067.696899
79,0,0.002271,0.002211,-0.031001,0.999514,1380.175171,-79.207153,1067.534302
80,0,0.002117,0.001951,-0.031293,0.999506,1380.241821,-79.343224,1067.365723
81,0,0.001945,0.001660,-0.031549,0.999499,1380.314697,-79.482628,1067.193481
82,0,0.001750,0.001325,-0.031813,0.999491,1380.387085,-79.616028,1067.045288
83,0,0.001561,0.001080,-0.032044,0.999485,1380.454468,-79.731583,1066.872192
84,0,0.001435,0.000720,-0.032318,0.999476,1380.528320,-79.822502,1066.678955
85,0,0.001197,0.000487,-0.032599,0.999468,1380.591431,-79.945007,1066.532715
86,0,0.001023,0.000169,-0.032865,0.999459,1380.669556,-80.037079,1066.362305
87,0,0.000867,-0.000156,-0.033214,0.999448,1380.724609,-80.131317,1066.191895
88,0,0.000654,-0.000421,-0.033458,0.999440,1380.794434,-80.195480,1066.013794
89,0,0.000488,-0.000811,-0.033885,0.999425,1380.857300,-80.276566,1065.842773
90,0,0.000323,-0.001149,-0.034191,0.999415,1380.926880,-80.321815,1065.657104
91,0,0.000104,-0.001451,-0.034510,0.999403,1380.994263,-80.369087,1065.482422
92,0,-0.000058,-0.001878,-0.034916,0.999388,1381.056885,-80.415115,1065.294800
93,0,-0.000241,-0.002146,-0.035296,0.999375,1381.105469,-80.459076,1065.125732
94,0,-0.000442,-0.002444,-0.035611,0.999363,1381.170532,-80.475204,1064.956421
95,0,-0.000612,-0.002793,-0.035973,0.999349,1381.226440,-80.492760,1064.776123
96,0,-0.000829,-0.003095,-0.036362,0.999334,1381.274536,-80.517563,1064.613281
97,0,-0.000966,-0.003395,-0.036636,0.999322,1381.357544,-80.464508,1064.404297
98,0,-0.001097,-0.003728,-0.037051,0.999306,1381.398926,-80.473312,1064.237427
99,0,-0.001226,-0.004058,-0.037377,0.999292,1381.475342,-80.425735,1064.054199
100,0,-0.001360,-0.004417,-0.037774,0.999276,1381.533447,-80.398460,1063.881470
101,0,-0.001527,-0.004706,-0.038144,0.999260,1381.595215,-80.352066,1063.723877
102,0,-0.001630,-0.005054,-0.038481,0.999245,1381.658936,-80.309074,1063.560059
103,0,-0.001670,-0.005348,-0.038860,0.999229,1381.728027,-80.230423,1063.391479
