Objects
100
,,Global Angle Nico_1:Nico_1,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
82,0,-0.051861,0.005292,-0.046790,-38.043633,-73.910477,658.891907
83,0,-0.051308,0.005755,-0.049162,-38.024944,-74.649811,659.002991
84,0,-0.050880,0.005787,-0.051354,-38.051975,-75.406960,659.140869
85,0,-0.050488,0.005872,-0.053432,-38.093655,-76.112518,659.233093
86,0,-0.050031,0.005968,-0.054965,-38.161900,-76.837326,659.347229
87,0,-0.049517,0.005692,-0.056487,-38.275375,-77.561737,659.432556
88,0,-0.048103,0.007366,-0.056970,-38.433380,-78.742783,659.908081
89,0,-0.047557,0.007474,-0.057621,-38.593239,-79.471619,659.988220
90,0,-0.047265,0.007569,-0.058156,-38.782589,-80.183922,660.043274
91,0,-0.047311,0.007989,-0.058536,-38.973339,-80.855438,660.059326
92,0,-0.046545,0.008405,-0.058665,-39.173618,-81.519417,660.078979
93,0,-0.046431,0.008605,-0.058783,-39.373642,-82.149719,660.098755
94,0,-0.047000,0.008720,-0.059016,-39.577721,-82.747749,660.111328
95,0,-0.046977,0.009090,-0.059373,-39.779877,-83.330772,660.129211
96,0,-0.047019,0.009042,-0.059557,-39.992855,-83.881302,660.105042
97,0,-0.047109,0.008787,-0.059708,-40.189232,-84.374916,660.076843
98,0,-0.047026,0.008196,-0.060048,-40.400169,-84.844429,660.053223
99,0,-0.046732,0.007894,-0.060431,-40.606487,-85.311615,660.070129
100,0,-0.046930,0.007717,-0.060662,-40.792526,-85.752769,660.101929
101,0,-0.046661,0.007876,-0.060965,-40.963715,-86.175728,660.126343
102,0,-0.045887,0.007733,-0.061569,-41.114925,-86.584816,660.125183
103,0,-0.045431,0.007723,-0.061749,-41.243439,-86.972923,660.111023
104,0,-0.045137,0.007875,-0.061968,-41.357697,-87.341446,660.082825
105,0,-0.044637,0.007902,-0.062403,-41.461571,-87.682945,660.071411
106,0,-0.044006,0.007890,-0.062926,-41.565708,-88.003220,660.054932
107,0,-0.043452,0.007790,-0.063258,-41.670422,-88.313431,660.028076
108,0,-0.042711,0.007885,-0.063582,-41.770042,-88.594711,659.993286
109,0,-0.042059,0.007881,-0.063668,-41.853153,-88.855263,659.937927
110,0,-0.041417,0.007726,-0.063346,-41.934429,-89.101425,659.885864
111,0,-0.041328,0.007338,-0.063012,-42.013779,-89.326508,659.807495
112,0,-0.041462,0.006916,-0.062416,-42.098892,-89.547089,659.728577
113,0,-0.041486,0.006282,-0.062031,-42.177700,-89.740891,659.621643
114,0,-0.041556,0.005696,-0.061557,-42.237461,-89.926277,659.478577
115,0,-0.041590,0.005589,-0.061062,-42.280956,-90.113686,659.336792
116,0,-0.041867,0.005703,-0.060724,-42.303600,-90.292358,659.172546
117,0,-0.042118,0.005877,-0.060633,-42.312706,-90.478714,658.991333
118,0,-0.042507,0.006090,-0.060566,-42.308067,-90.646591,658.777344
119,0,-0.042542,0.006489,-0.060542,-42.295673,-90.799141,658.558655
120,0,-0.042761,0.006623,-0.060792,-42.277725,-90.944939,658.322815
121,0,-0.042907,0.006898,-0.061076,-42.247219,-91.079521,658.075439
122,0,-0.043036,0.006994,-0.061608,-42.205109,-91.204994,657.829285
123,0,-0.043083,0.007266,-0.062077,-42.161572,-91.326019,657.566101
124,0,-0.043171,0.007271,-0.062528,-42.109783,-91.441040,657.316833
125,0,-0.043420,0.007089,-0.062764,-42.043186,-91.529121,657.067261
126,0,-0.043604,0.007093,-0.062904,-41.966526,-91.626312,656.833130
127,0,-0.043965,0.007082,-0.062796,-41.873219,-91.718445,656.609680
128,0,-0.044440,0.007226,-0.062627,-41.764652,-91.814308,656.392883
129,0,-0.045042,0.007210,-0.062461,-41.643719,-91.892830,656.162048
130,0,-0.045474,0.007438,-0.062411,-41.511448,-91.974907,655.919067
131,0,-0.045637,0.007873,-0.061981,-41.346664,-92.044937,655.683167
132,0,-0.046092,0.007988,-0.061547,-41.168015,-92.122536,655.487671
133,0,-0.046496,0.008016,-0.060922,-40.976326,-92.190315,655.320007
134,0,-0.047021,0.008064,-0.060351,-40.783970,-92.261169,655.184814
135,0,-0.047521,0.008046,-0.060041,-40.579903,-92.333031,655.059387
136,0,-0.047726,0.008088,-0.059689,-40.354969,-92.387932,654.917908
137,0,-0.047835,0.008026,-0.059595,-40.124699,-92.440704,654.795471
138,0,-0.047864,0.007906,-0.059406,-39.882744,-92.496765,654.703186
139,0,-0.047797,0.007609,-0.059337,-39.624546,-92.549194,654.642761
140,0,-0.047678,0.007509,-0.059020,-39.374928,-92.594368,654.612488
141,0,-0.047622,0.007553,-0.058608,-39.116589,-92.625664,654.585510
142,0,-0.047507,0.007683,-0.058009,-38.846897,-92.651367,654.550720
143,0,-0.047418,0.007379,-0.057566,-38.566757,-92.691864,654.507446
144,0,-0.047621,0.006817,-0.057333,-38.264233,-92.738724,654.476196
145,0,-0.047386,0.006501,-0.056909,-37.962841,-92.777222,654.463623
146,0,-0.047613,0.005990,-0.056451,-37.648705,-92.817467,654.486816
147,0,-0.047683,0.005494,-0.056186,-37.326321,-92.840744,654.506104
148,0,-0.047718,0.004751,-0.056178,-36.993202,-92.858849,654.515503
149,0,-0.047490,0.004044,-0.056586,-36.647942,-92.877243,654.553284
150,0,-0.047288,0.003424,-0.057276,-36.293705,-92.884727,654.596191
151,0,-0.047205,0.002879,-0.057890,-35.940083,-92.871132,654.657471
152,0,-0.047055,0.002394,-0.058500,-35.607643,-92.841209,654.736572
153,0,-0.046704,0.001919,-0.059058,-35.273308,-92.794205,654.828918
154,0,-0.044445,0.002970,-0.059869,-34.848110,-92.811119,655.185852
155,0,-0.043897,0.001972,-0.060362,-34.532467,-92.760635,655.315002
156,0,-0.043232,0.001082,-0.060618,-34.227665,-92.713844,655.475525
157,0,-0.042845,0.000240,-0.060417,-33.924671,-92.669533,655.653992
