Objects
100
,,Global Angle (Quaternion) nicococo:nicococo,,,,,,,
Frame,Sub Frame,RX,RY,RZ,RW,TX,TY,TZ
,,,,,,mm,mm,mm
76,0,0.018327,0.074312,-0.007610,0.997038,22.675215,-172.024216,355.728210
77,0,0.017587,0.073729,-0.007739,0.997093,22.818300,-172.165070,355.336853
78,0,0.016742,0.073058,-0.007737,0.997157,22.950531,-172.342285,354.960663
79,0,0.016166,0.072456,-0.007511,0.997212,23.068285,-172.566086,354.603149
80,0,0.015594,0.071805,-0.007168,0.997271,23.180286,-172.833237,354.254059
81,0,0.015250,0.071177,-0.006504,0.997326,23.279413,-173.132736,353.913391
82,0,0.015053,0.070549,-0.005724,0.997378,23.363447,-173.471497,353.595703
83,0,0.015137,0.069557,-0.004960,0.997451,23.432693,-173.817551,353.271393
84,0,0.015087,0.069072,-0.003852,0.997490,23.491913,-174.226715,353.028320
85,0,0.015130,0.068503,-0.002759,0.997532,23.541164,-174.639053,352.798431
86,0,0.015215,0.068109,-0.001602,0.997561,23.592909,-175.051910,352.579224
87,0,0.015103,0.067695,-0.000532,0.997592,23.634230,-175.462418,352.377655
88,0,0.015009,0.067316,0.000619,0.997619,23.669758,-175.873001,352.186951
89,0,0.014915,0.066988,0.001772,0.997641,23.687962,-176.271774,351.999176
90,0,0.014789,0.066631,0.002878,0.997664,23.696144,-176.649643,351.801605
91,0,0.014715,0.066271,0.004075,0.997685,23.674351,-177.004135,351.617767
92,0,0.014657,0.065962,0.005216,0.997701,23.632027,-177.316971,351.422760
93,0,0.014740,0.065686,0.006367,0.997711,23.582462,-177.602142,351.227631
94,0,0.014952,0.065399,0.007400,0.997720,23.516855,-177.852905,351.024414
95,0,0.014948,0.065087,0.008099,0.997735,23.430092,-178.074203,350.822052
96,0,0.014950,0.064766,0.008743,0.997750,23.345448,-178.245712,350.609680
97,0,0.014980,0.064521,0.009232,0.997761,23.257696,-178.376999,350.405090
98,0,0.014926,0.064304,0.009568,0.997773,23.166945,-178.465805,350.204651
99,0,0.014890,0.064195,0.009768,0.997778,23.077774,-178.516708,350.005859
100,0,0.014832,0.064084,0.009808,0.997786,22.978827,-178.537659,349.818756
101,0,0.014706,0.063944,0.009695,0.997798,22.869835,-178.533813,349.618896
102,0,0.014478,0.063853,0.009534,0.997809,22.752802,-178.510971,349.403931
103,0,0.014198,0.063739,0.009271,0.997823,22.632629,-178.476166,349.185059
104,0,0.013896,0.063588,0.009000,0.997839,22.489201,-178.430496,348.956451
105,0,0.013555,0.063398,0.008658,0.997859,22.332914,-178.409592,348.750092
106,0,0.013141,0.063181,0.008328,0.997881,22.182671,-178.405746,348.545929
107,0,0.012858,0.062969,0.008161,0.997899,22.020964,-178.424072,348.370972
108,0,0.012644,0.062699,0.008119,0.997919,21.865108,-178.485550,348.210114
109,0,0.012437,0.062517,0.008158,0.997933,21.705231,-178.600632,348.073303
110,0,0.012450,0.062347,0.008306,0.997942,21.563013,-178.752365,347.945038
111,0,0.012408,0.062253,0.008529,0.997947,21.424150,-178.959518,347.849609
112,0,0.012417,0.062169,0.008842,0.997949,21.284643,-179.197235,347.804016
