Objects
100
,,Global Angle (Quaternion) nicococo:nicococo,,,,,,,
Frame,Sub Frame,RX,RY,RZ,RW,TX,TY,TZ
,,,,,,mm,mm,mm
76,0,0.024132,0.002974,0.017605,0.999549,-43.520851,-112.858429,304.204620
77,0,0.024153,0.002889,0.017030,0.999559,-43.774605,-113.022110,304.029541
78,0,0.024070,0.003122,0.016965,0.999561,-44.002876,-113.179443,303.865417
79,0,0.023808,0.003392,0.017131,0.999564,-44.206112,-113.301048,303.658386
80,0,0.023542,0.003762,0.017578,0.999561,-44.404800,-113.382164,303.398651
81,0,0.023247,0.004349,0.018346,0.999552,-44.606445,-113.472710,303.121796
82,0,0.023098,0.004996,0.019186,0.999537,-44.791576,-113.529343,302.812805
83,0,0.023078,0.005744,0.020022,0.999517,-44.971401,-113.573708,302.524475
84,0,0.022989,0.006611,0.020838,0.999497,-45.157528,-113.591087,302.240570
85,0,0.022764,0.007281,0.021605,0.999481,-45.348267,-113.635460,301.989838
86,0,0.022621,0.007830,0.022336,0.999464,-45.561367,-113.688171,301.775757
87,0,0.022447,0.008161,0.023002,0.999450,-45.793858,-113.770294,301.604095
88,0,0.022480,0.008256,0.023523,0.999436,-46.058289,-113.849556,301.483154
89,0,0.022586,0.008129,0.023707,0.999431,-46.363567,-113.923836,301.419006
90,0,0.022671,0.008000,0.023780,0.999428,-46.678566,-114.009903,301.434448
91,0,0.022751,0.007855,0.023583,0.999432,-47.009357,-114.092560,301.518188
92,0,0.022946,0.007467,0.023217,0.999439,-47.342327,-114.191780,301.619385
93,0,0.023177,0.007015,0.022692,0.999449,-47.666550,-114.313103,301.749786
94,0,0.023434,0.006538,0.021915,0.999464,-47.967926,-114.414207,301.875458
95,0,0.023827,0.006147,0.021083,0.999475,-48.246216,-114.516571,302.016876
96,0,0.024203,0.005821,0.020186,0.999486,-48.504425,-114.568344,302.183044
97,0,0.024718,0.005435,0.019398,0.999491,-48.754978,-114.599380,302.339417
98,0,0.025239,0.004973,0.018725,0.999494,-48.973583,-114.635918,302.475067
99,0,0.025881,0.004645,0.018216,0.999488,-49.161411,-114.672829,302.589661
100,0,0.026448,0.004213,0.017763,0.999483,-49.306313,-114.737625,302.688660
101,0,0.027249,0.003851,0.017511,0.999468,-49.431454,-114.808380,302.781830
102,0,0.028117,0.003551,0.017444,0.999446,-49.533504,-114.856392,302.877533
103,0,0.029018,0.003260,0.017446,0.999421,-49.628456,-114.891373,302.977081
104,0,0.030032,0.002888,0.017445,0.999393,-49.696125,-114.939735,303.050415
105,0,0.031094,0.002628,0.017574,0.999358,-49.738209,-115.038773,303.119080
106,0,0.032461,0.002386,0.017653,0.999314,-49.760418,-115.160706,303.127533
107,0,0.034203,0.002285,0.017653,0.999256,-49.763599,-115.329636,303.111145
108,0,0.036435,0.002536,0.017505,0.999179,-49.744877,-115.524597,303.053833
109,0,0.038942,0.002880,0.017249,0.999088,-49.703678,-115.757797,302.970703
110,0,0.041993,0.003579,0.016786,0.998970,-49.637085,-116.000618,302.845367
111,0,0.045208,0.004567,0.016224,0.998835,-49.524609,-116.282326,302.709808
112,0,0.048203,0.005465,0.015413,0.998704,-49.435650,-116.582390,302.584106
113,0,0.050817,0.006424,0.014409,0.998583,-49.368862,-116.873764,302.547546
114,0,0.052863,0.007111,0.013249,0.998488,-49.373085,-117.136307,302.655792
115,0,0.054269,0.007354,0.011879,0.998429,-49.439484,-117.382011,302.924591
116,0,0.055002,0.007324,0.010382,0.998405,-49.576668,-117.632584,303.396637
117,0,0.055339,0.006750,0.008719,0.998407,-49.748058,-117.879700,304.023376
118,0,0.055725,0.005822,0.006779,0.998406,-49.942520,-118.117989,304.726074
119,0,0.055961,0.004697,0.004942,0.998410,-50.133385,-118.411209,305.517914
120,0,0.056271,0.003397,0.003019,0.998405,-50.286022,-118.692253,306.294617
121,0,0.056749,0.002244,0.001170,0.998385,-50.382954,-118.985794,307.092041
122,0,0.057037,0.000916,-0.000430,0.998372,-50.443150,-119.273315,307.864807
123,0,0.057366,-0.000189,-0.001566,0.998352,-50.470390,-119.581718,308.601898
124,0,0.058030,-0.001128,-0.002262,0.998312,-50.436737,-119.944534,309.291168
125,0,0.058590,-0.001814,-0.002532,0.998277,-50.391762,-120.333855,309.883514
126,0,0.059208,-0.002336,-0.002577,0.998240,-50.323078,-120.735146,310.388367
127,0,0.059963,-0.002615,-0.002397,0.998194,-50.246502,-121.146408,310.791107
128,0,0.060391,-0.002494,-0.002179,0.998169,-50.162334,-121.538864,311.133728
129,0,0.060420,-0.002099,-0.001935,0.998169,-50.061382,-121.958687,311.506287
130,0,0.060147,-0.001399,-0.001751,0.998187,-49.961895,-122.378586,311.911194
131,0,0.059564,-0.000510,-0.001606,0.998223,-49.868702,-122.807167,312.307892
132,0,0.059041,0.000339,-0.001704,0.998254,-49.794540,-123.231339,312.674164
133,0,0.058355,0.001187,-0.001998,0.998293,-49.741444,-123.645729,312.994720
134,0,0.057834,0.001902,-0.002478,0.998321,-49.709091,-124.049675,313.289368
135,0,0.057402,0.002535,-0.003110,0.998343,-49.669762,-124.457191,313.548492
136,0,0.057218,0.003110,-0.003617,0.998350,-49.659409,-124.876785,313.792664
137,0,0.057211,0.003587,-0.004237,0.998347,-49.666580,-125.274498,313.961670
138,0,0.057340,0.003755,-0.004856,0.998336,-49.678890,-125.651596,314.021667
139,0,0.057618,0.004024,-0.005373,0.998316,-49.708584,-126.011192,314.030579
140,0,0.058154,0.004286,-0.005887,0.998281,-49.749836,-126.328499,313.990753
141,0,0.058720,0.004655,-0.006319,0.998244,-49.797523,-126.621544,313.950073
142,0,0.058988,0.004946,-0.006703,0.998224,-49.846016,-126.873749,313.901062
143,0,0.059321,0.005304,-0.006736,0.998202,-49.881882,-127.087433,313.843475
144,0,0.059755,0.005660,-0.006684,0.998175,-49.908504,-127.261551,313.751190
145,0,0.060184,0.006099,-0.006492,0.998148,-49.911961,-127.438370,313.647583
146,0,0.060824,0.006520,-0.006253,0.998108,-49.901230,-127.593803,313.505402
147,0,0.061381,0.006943,-0.005913,0.998073,-49.884689,-127.727020,313.366486
148,0,0.060222,0.008479,-0.005484,0.998134,-49.933155,-128.082443,313.281189
149,0,0.060587,0.008954,-0.004938,0.998111,-49.938744,-128.197372,313.184082
150,0,0.060756,0.009217,-0.004412,0.998100,-49.954483,-128.298630,313.098907
151,0,0.060920,0.009426,-0.003955,0.998090,-49.977882,-128.364517,313.021881
152,0,0.061015,0.009633,-0.003571,0.998084,-50.006310,-128.438919,312.954559
153,0,0.061166,0.009911,-0.003128,0.998074,-50.028454,-128.508179,312.889282
154,0,0.061222,0.010253,-0.002788,0.998068,-50.044376,-128.541824,312.834045
155,0,0.061108,0.010654,-0.002428,0.998071,-50.070560,-128.546860,312.833710
156,0,0.060831,0.010795,-0.002193,0.998087,-50.103535,-128.506180,312.891296
157,0,0.060472,0.010721,-0.001808,0.998111,-50.163353,-128.473358,313.010773
158,0,0.059931,0.010331,-0.001493,0.998148,-50.258751,-128.460266,313.170258
159,0,0.059634,0.009585,-0.001295,0.998173,-50.385628,-128.469299,313.394348
160,0,0.059550,0.008758,-0.001015,0.998186,-50.542656,-128.503326,313.650635
161,0,0.059636,0.007787,-0.001055,0.998189,-50.724117,-128.543365,313.924530
162,0,0.059847,0.006668,-0.001222,0.998185,-50.967754,-128.600220,314.264343
163,0,0.060241,0.005512,-0.001658,0.998167,-51.217495,-128.631149,314.600006
164,0,0.060462,0.004505,-0.002312,0.998158,-51.481197,-128.668640,314.990326
165,0,0.060461,0.003560,-0.003220,0.998159,-51.761044,-128.670364,315.405518
166,0,0.060488,0.002902,-0.004292,0.998155,-52.031521,-128.655991,315.831268
167,0,0.060576,0.002455,-0.005279,0.998147,-52.307827,-128.639175,316.285065
168,0,0.060381,0.002009,-0.006307,0.998153,-52.583569,-128.572342,316.709503
169,0,0.060418,0.001555,-0.007320,0.998145,-52.879913,-128.467636,317.144318
170,0,0.060541,0.001166,-0.008213,0.998131,-53.163528,-128.336075,317.550690
171,0,0.060709,0.001088,-0.008899,0.998115,-53.433601,-128.196259,317.945007
172,0,0.060712,0.001110,-0.009394,0.998111,-53.690449,-128.080261,318.342651
173,0,0.060950,0.001304,-0.009587,0.998094,-53.948231,-127.960472,318.711700
174,0,0.061312,0.001921,-0.009584,0.998071,-54.179523,-127.801506,319.061707
175,0,0.061485,0.002575,-0.009575,0.998059,-54.366566,-127.595558,319.360413
176,0,0.061356,0.003486,-0.009366,0.998066,-54.515606,-127.351967,319.670776
177,0,0.060708,0.004613,-0.009020,0.998104,-54.610435,-127.053558,319.981262
178,0,0.059890,0.005735,-0.008357,0.998154,-54.676430,-126.724396,320.271393
179,0,0.059133,0.007063,-0.007401,0.998198,-54.716991,-126.388390,320.548096
180,0,0.058494,0.008402,-0.006446,0.998232,-54.706882,-126.039429,320.790710
181,0,0.058863,0.007390,-0.007590,0.998210,-54.696671,-125.256378,320.652344
182,0,0.058415,0.008469,-0.006540,0.998235,-54.568531,-124.844719,320.840332
183,0,0.057830,0.009574,-0.005416,0.998266,-54.413338,-124.436050,321.034332
184,0,0.057177,0.010434,-0.004212,0.998301,-54.210938,-124.043488,321.217468
185,0,0.056485,0.011033,-0.002989,0.998338,-54.002094,-123.631638,321.400238
186,0,0.055779,0.011486,-0.001510,0.998376,-53.772469,-123.236092,321.575928
187,0,0.055189,0.011737,0.000058,0.998407,-53.543262,-122.880600,321.726929
188,0,0.054864,0.011978,0.001623,0.998421,-53.294922,-122.540199,321.876984
189,0,0.054599,0.012211,0.003185,0.998429,-53.033195,-122.237816,322.018433
190,0,0.054399,0.012294,0.004455,0.998434,-52.771706,-121.916862,322.168732
191,0,0.054028,0.012336,0.005483,0.998448,-52.536572,-121.595940,322.296631
192,0,0.053563,0.012184,0.006168,0.998471,-52.318626,-121.260719,322.392212
193,0,0.053092,0.012073,0.006620,0.998495,-52.116852,-120.925797,322.473938
194,0,0.052839,0.011890,0.006904,0.998508,-51.941952,-120.609138,322.556091
195,0,0.052617,0.011586,0.007152,0.998522,-51.813129,-120.325638,322.632355
196,0,0.052429,0.010890,0.007259,0.998539,-51.740128,-120.059669,322.694855
197,0,0.052453,0.010118,0.007405,0.998545,-51.751259,-119.826828,322.722717
198,0,0.052472,0.009310,0.007583,0.998550,-51.815460,-119.625847,322.720886
199,0,0.052691,0.008597,0.007627,0.998545,-51.935513,-119.443024,322.681030
200,0,0.052962,0.007987,0.007563,0.998536,-52.099743,-119.295982,322.612457
201,0,0.053443,0.007649,0.007262,0.998515,-52.310471,-119.151909,322.532776
202,0,0.054112,0.007540,0.006705,0.998484,-52.561668,-119.007271,322.481659
203,0,0.054639,0.007616,0.005788,0.998460,-52.818798,-118.862808,322.488281
204,0,0.054879,0.007739,0.004522,0.998453,-53.087116,-118.706223,322.604645
205,0,0.054520,0.008041,0.002968,0.998476,-53.366142,-118.513710,322.845032
206,0,0.053558,0.008436,0.001319,0.998528,-53.648754,-118.287666,323.247925
207,0,0.052283,0.008954,-0.000337,0.998592,-53.920300,-118.002228,323.800934
208,0,0.050617,0.009077,-0.002043,0.998675,-54.175358,-117.609840,324.450897
209,0,0.048719,0.008511,-0.003578,0.998770,-54.397896,-117.152107,325.185242
210,0,0.046819,0.007700,-0.004412,0.998864,-54.637363,-116.705887,326.082367
211,0,0.044189,0.006994,-0.004866,0.998987,-54.928108,-116.297562,327.150757
212,0,0.041426,0.006415,-0.005380,0.999106,-55.190475,-115.781090,328.349091
213,0,0.038317,0.005704,-0.005710,0.999233,-55.423798,-115.186272,329.579224
214,0,0.035103,0.005328,-0.005925,0.999352,-55.618523,-114.583656,330.935181
215,0,0.031433,0.004743,-0.005847,0.999477,-55.792385,-113.922554,332.315857
216,0,0.027836,0.004045,-0.005497,0.999589,-55.955044,-113.240623,333.763245
217,0,0.023828,0.003242,-0.004736,0.999700,-56.137600,-112.540741,335.261414
218,0,0.019852,0.002488,-0.003896,0.999792,-56.359200,-111.827690,336.820892
219,0,0.015706,0.001708,-0.003048,0.999871,-56.615620,-111.063004,338.352692
220,0,0.012057,0.001031,-0.002343,0.999924,-56.902515,-110.295364,339.902496
221,0,0.008283,0.000348,-0.001729,0.999964,-57.257481,-109.518211,341.369476
222,0,0.006419,-0.000884,-0.000716,0.999979,-57.713684,-108.914459,342.711975
223,0,0.004256,-0.001492,-0.000372,0.999990,-58.160385,-108.211990,344.000000
224,0,0.002525,-0.001814,-0.000251,0.999995,-58.640999,-107.543648,345.226166
225,0,0.001304,-0.002004,-0.000605,0.999997,-59.156635,-106.886299,346.369232
226,0,0.000083,-0.001948,-0.001462,0.999997,-59.678684,-106.203384,347.479431
227,0,-0.001319,-0.001588,-0.002538,0.999995,-60.224110,-105.487419,348.607666
228,0,-0.002989,-0.001070,-0.004058,0.999987,-60.776314,-104.720810,349.759918
229,0,-0.005169,-0.002916,-0.007849,0.999952,-61.396057,-103.487839,350.557007
230,0,-0.007123,-0.002800,-0.009646,0.999924,-62.027573,-102.626869,351.693115
231,0,-0.009103,-0.002768,-0.011548,0.999888,-62.685020,-101.727638,352.863953
232,0,-0.010822,-0.002921,-0.013571,0.999845,-63.366100,-100.797180,354.012451
233,0,-0.011905,-0.003186,-0.015319,0.999807,-64.019783,-99.847900,355.134674
234,0,-0.011843,-0.004117,-0.015559,0.999800,-64.517456,-98.771111,356.081909
235,0,-0.011325,-0.005922,-0.014473,0.999814,-64.865707,-97.491737,356.864502
236,0,-0.010509,-0.007824,-0.012096,0.999841,-65.072319,-96.023170,357.599365
237,0,-0.010405,-0.009712,-0.009380,0.999855,-65.176483,-94.389488,358.324707
238,0,-0.010825,-0.011093,-0.006563,0.999858,-65.251938,-92.684830,359.063812
239,0,-0.011389,-0.012138,-0.004245,0.999852,-65.327499,-90.922127,359.802856
240,0,-0.012613,-0.013119,-0.002349,0.999832,-65.426765,-89.168571,360.522186
241,0,-0.013859,-0.014095,-0.000866,0.999804,-65.572426,-87.429581,361.195526
242,0,-0.014939,-0.015183,0.000078,0.999773,-65.757614,-85.711502,361.786530
243,0,-0.016139,-0.016397,0.000730,0.999735,-65.995552,-84.048279,362.297180
244,0,-0.016888,-0.017513,0.001207,0.999703,-66.267006,-82.405121,362.705414
245,0,-0.016979,-0.018630,0.001807,0.999681,-66.503830,-80.809906,362.947723
246,0,-0.016954,-0.019556,0.002699,0.999661,-66.708267,-79.212662,363.034119
247,0,-0.016654,-0.019851,0.004048,0.999656,-66.845047,-77.561539,363.003479
248,0,-0.016668,-0.019835,0.005421,0.999650,-66.924576,-75.844833,362.853607
249,0,-0.016704,-0.019163,0.006997,0.999652,-66.959297,-74.119942,362.621185
250,0,-0.016654,-0.018079,0.008484,0.999662,-66.957191,-72.418533,362.349823
251,0,-0.017005,-0.016402,0.009990,0.999671,-66.952423,-70.676399,362.117065
252,0,-0.017995,-0.014850,0.011576,0.999661,-66.897629,-68.978088,361.945648
253,0,-0.018807,-0.013371,0.013548,0.999642,-66.828781,-67.344879,361.793243
254,0,-0.019580,-0.012125,0.015811,0.999610,-66.748390,-65.763718,361.639801
255,0,-0.020382,-0.011467,0.018501,0.999555,-66.677452,-64.233574,361.435638
256,0,-0.021064,-0.011420,0.021283,0.999486,-66.650948,-62.746712,361.140991
257,0,-0.021720,-0.011540,0.023868,0.999413,-66.690796,-61.255363,360.854889
258,0,-0.022033,-0.011789,0.026049,0.999348,-66.791069,-59.700153,360.601410
259,0,-0.022365,-0.012516,0.027655,0.999289,-66.951859,-58.099194,360.323303
260,0,-0.022443,-0.013797,0.028627,0.999243,-67.217064,-56.483158,360.055176
261,0,-0.022790,-0.015496,0.029136,0.999195,-67.463974,-54.919224,359.779510
262,0,-0.023358,-0.017346,0.029106,0.999153,-67.677704,-53.366810,359.447723
263,0,-0.024368,-0.019400,0.028717,0.999102,-67.868599,-51.851936,359.074402
264,0,-0.026064,-0.021661,0.027941,0.999035,-68.060364,-50.334759,358.619293
265,0,-0.028000,-0.024102,0.026680,0.998961,-68.261322,-48.843189,358.107727
266,0,-0.030089,-0.026989,0.025226,0.998864,-68.452911,-47.399239,357.530762
267,0,-0.032668,-0.030363,0.023784,0.998722,-68.643410,-46.002148,356.909973
268,0,-0.035673,-0.034659,0.022339,0.998513,-68.951317,-44.398643,356.076050
