Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State 1,Pin State 2,Pin State 3,Pin State 4,Debug 0,Debug 1,Debug 2,Debug 3,App message,
0,1500,,,,0,0.06640625,-0.986328125,0.00013415979392632373,-0.0004308414179309243,23.236909919955526,-0.11189687756389688,0,0,2.600137664276564,0,0,0,0,0.4047939944900269,-0.06580719884602487,-0.019160939186307947,0.078125,-0.09945719596200009,0,1,1,1,0,0,0,0,,
0,1632.0250059594343,,,,0,0.033203125,-0.9609375,0.00013415979392632373,-0.00035067781985548627,23.237172172431602,-0.11150638714847494,0,0,2.591093116494927,0,0,0,0,0.4047939944900269,-0.06580719884602487,-0.019247340824591157,0.080078125,-0.09962292906438286,0,1,1,1,0,0,0,0,,
0.024995000000111758,1711.1461279676598,,,,0,0.05859375,-0.986328125,0.00013415979392632373,-0.00035067781985548627,23.2372605825978,-0.11025930796470451,0,0,2.5621242708327396,0,0,0,0,0.4047939944900269,-0.06580719884602487,-0.019247340824591157,0.080078125,-0.0996486530418128,0,1,1,1,0,0,0,0,,
0.05299500000011176,1785.3158509252505,,,,0,0.05078125,-0.9765625,0.00013415979392632373,-0.00035067781985548627,23.236949232822656,-0.11013770889851493,0,0,2.5592643502941916,0,0,0,0,0.4047939944900269,-0.06580719884602487,-0.019247340824591157,0.080078125,-0.09972512192226368,0,1,1,1,0,0,0,0,,
0.07699500000011175,1859.1477470899838,,,,0,0.037109375,-0.9609375,0.00022317787932723705,-0.00035067781985548627,23.23692753698127,-0.10985049690321835,0,0,2.5525880364414704,0,0,0,0,0.4046800029719361,-0.06533326921832262,-0.019247340824591157,0.080078125,-0.09979427679791675,0,1,1,1,0,0,0,0,,
0.10199500000011176,1908.8847326866703,,,,-0.03125,0.099609375,-0.998046875,0.00022317787932723705,-0.00035067781985548627,23.233246613267646,0.017573766757226217,0,0,0.40829565699468157,0,0,0,0,0.4046800029719361,-0.06533326921832262,-0.019247340824591157,0.08203125,-0.09300223820292608,0,0,1,1,0,0,0,0,,
0.12799500000057742,1950.6187088741071,,,,-0.037109375,0.056640625,-0.943359375,0.00022317787932723705,-0.00035067781985548627,23.2289007345005,0.15550597813797484,0,3,3.6122329297884224,0.00006225937138233678,0.0017235702290655842,5.632530686857769,0.00009708062206166376,0.4046800029719361,-0.06533326921832262,-0.019247340824591157,0.087890625,-0.08458548184373882,0,1,1,1,0,0,0,0,,
0.15099500000011176,1983.21354785276,,,,0.44921875,0.14453125,-1.091796875,0.00022317787932723705,-0.0003959137164652901,23.224600413776002,0.28864177708992944,0,967,6.703589935635816,0.022601982867654573,0.33716237247007025,0.017516769160633137,0.00005905995448209629,0.4046800029719361,-0.06533326921832262,-0.01919858483471382,0.103515625,-0.07572183864820659,0,1,1,1,0,0,0,0,,
0.17699500000011176,1997.636806660271,,,,0.38671875,-0.087890625,-1.06640625,0.00022317787932723705,-0.0003959137164652901,23.21849430525623,0.49054960381799173,0,2572,11.38982318269374,0.06011946045227741,0.5278348881098162,0.006585450259979709,0.000034760304011291496,0.4046800029719361,-0.06533326921832262,-0.01919858483471382,0.119140625,-0.06183770751181061,0,0,1,1,0,0,0,0,,
0.20299500000011175,1998.0238453211518,,,,0.01171875,0.197265625,-0.97265625,0.0002792140978520161,-0.0003959137164652901,23.211438524313845,0.7248870268608445,0,3857,16.82567066105313,0.11278774131321763,0.6703313263719746,0.0035102548544333058,0.000023530337924759403,0.4047379507393245,-0.06515619038795561,-0.01919858483471382,0.134765625,-0.045091458565260645,1,0,1,1,0,0,0,0,,
0.22799500000011175,1977.722971751301,,,,0.173828125,0.369140625,-1.046875,0.0002792140978520161,-0.0003959137164652901,23.20147544928496,1.0393499902810786,0,5201,24.114453282721005,0.15206914795983634,0.6306141224806457,0.002603511111733569,0.00001641810875094475,0.4047379507393245,-0.06515619038795561,-0.01919858483471382,0.154296875,-0.021820225439138863,0,0,1,1,0,0,0,0,,
0.2529950000005774,1947.6750247303887,,,,-0.0234375,0.064453125,-0.939453125,0.0002792140978520161,-0.0003959137164652901,23.18997282151452,1.3905325230740693,0,6413,32.24641141751968,0.1875200512739639,0.5815222315624339,0.00211131403695526,0.000012277760502993138,0.4047379507393245,-0.06515619038795561,-0.01919858483471382,0.169921875,0,0,1,1,1,0,0,0,0,,
0.28099500000011174,1889.4621578353194,,,,0.0234375,0.138671875,-1.06640625,0.0002792140978520161,-0.0003959137164652901,23.175826541448934,1.8306429181263817,0,7622,42.42666272982893,0.22285575855756432,0.5252728926069433,0.0017765469424162283,0.00000933171951294993,0.4047379507393245,-0.06515619038795561,-0.01919858483471382,0.177734375,0.04137757212842841,0,1,1,1,0,0,0,0,,
0.30699500000011176,1781.126129449211,,,,0.173828125,-0.00390625,-1.005859375,0.0002792140978520161,-0.0004148563413558521,23.160871393346852,2.2965737416460494,0,8884,53.19064907560153,0.25976143642133703,0.48835921526757464,0.001597066705016786,0.000007799422427919687,0.4047379507393245,-0.06515619038795561,-0.019178168163516144,0.181640625,0.08113260041268733,0,0,1,1,0,0,0,0,,
0.3329950000001118,1678.7708504494371,,,,-0.08203125,0.009765625,-1.044921875,0.0002792140978520161,-0.0004148563413558521,23.14382767954189,2.8275005526297883,0,10227,65.43918555387329,0.2990356709101434,0.45696728707596784,0.0013873138950052264,0.000006339570669233323,0.4047379507393245,-0.06515619038795561,-0.019178168163516144,0.189453125,0.12786977457966708,0,1,1,1,0,0,0,0,,
0.36399500000011176,1584.664431187026,,,,0.0859375,0.044921875,-0.958984375,0.04153837038846691,-0.0004148563413558521,23.12591122405408,3.3695093834641825,0,11430,77.92297487060988,49.71860465643343,63.80480819551685,0.000008344086569255137,0.000005323928431181122,0.5017388687479754,0.014430710581761532,-0.019178168163516144,0.1953125,0.1819371104702614,0,1,1,1,0,0,0,0,,
0.39899500000011173,1470.2343686875909,,,,-0.375,0.177734375,-0.89453125,0.04153837038846691,-0.0004148563413558521,23.095643277262408,4.32861762172424,0,12647,99.97220847501502,55.0114588469226,55.02675162034759,0.000007541271401477468,0.000004149716683107312,0.5017388687479754,0.014430710581761532,-0.019178168163516144,0.220703125,0.27242697875296873,0,1,1,1,0,0,0,0,,
0.42799500000011176,1394.8955721424911,,,,0,0.228515625,-1.01953125,0.04153837038846691,-0.0004148563413558521,23.07144783432571,5.073822179042967,0,14126,117.06042372443461,61.444452392506896,52.4895181800724,0.000006751729817783248,0.0000035439504501747077,0.5017388687479754,0.014430710581761532,-0.019178168163516144,0.2734375,0.3498810845485245,1,1,1,1,0,0,0,0,,
0.4539950000005774,1283.980956180286,,,,0.76953125,0.111328125,-1.212890625,0.04153837038846691,0.02809460818249627,23.04812702980224,5.768596294966525,0,15245,132.95534019003503,66.31314062044001,49.87625207506344,0.00042366577603830967,0.00021130861041264106,0.5017388687479754,0.014430710581761532,-0.049906135727045976,0.326171875,0.4258860819322208,0,1,1,1,0,0,0,0,,
0.47699500000011175,1196.6708121153902,,,,0.162109375,0.169921875,-1.07421875,0.04153837038846691,0.02809460818249627,23.0271807376969,6.3740596909450815,0,16253,146.77662453626084,70.6980079540344,48.16707577068487,0.00039738896463338113,0.00019141064369930077,0.5017388687479754,0.014430710581761532,-0.049906135727045976,0.392578125,0.49856474925747474,0,1,1,1,0,0,0,0,,
0.5029950000005774,1124.04253738697,,,,0.171875,0.298828125,-1.25,0.04153837038846691,0.02809460818249627,23.01121037053963,6.829494349651096,0,16902,157.1549312042331,73.52047877784139,46.782164717629335,0.00038213309610497,0.00017877013446040388,0.5017388687479754,0.014430710581761532,-0.049906135727045976,0.4765625,0.5709928688840571,0,1,1,1,0,0,0,0,,
0.5289950000001118,1061.6119772049894,,,,0.5625,-0.078125,-0.68359375,0.06349730576933114,0.02809460818249627,23.003315739334766,7.075636851689408,0,17236,162.76310855628407,114.60937491833553,70.41483536098919,0.00024513359576836517,0.00017261041787476709,0.5406310268253741,0.06869266663496228,-0.049906135727045976,0.552734375,0.6292429081929627,0,1,1,1,0,0,0,0,,
0.5519950000001118,1017.3091805833632,,,,0.2109375,0.16015625,-1.357421875,0.06349730576933114,0.02809460818249627,23.00390029186359,6.938479702295481,0,17335,159.61209524872461,115.26638503694647,72.21657284639117,0.00024373635187302067,0.0001760180401035163,0.5406310268253741,0.06869266663496228,-0.049906135727045976,0.646484375,0.6742651250662859,0,1,1,1,0,0,0,0,,
0.5779950000001117,1001.7468383033431,,,,-0.037109375,-0.330078125,-0.892578125,0.06349730576933114,0.02809460818249627,23.017180279091473,6.412132136073112,0,16912,147.5892013493507,112.45792231334359,76.19657894018297,0.0002498232903878105,0.00019035680067131056,0.5406310268253741,0.06869266663496228,-0.049906135727045976,0.71875,0.6948905654401449,0,1,1,1,0,0,0,0,,
