Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State 1,Pin State 2,Pin State 3,Pin State 4,Debug 0,Debug 1,Debug 2,Debug 3,App message,
0,1500,,,,0,0.078125,-0.998046875,-0.05633165496945061,0.031224979242656093,23.24500964910107,0.013088917754138674,0,0,0.3042520194912438,0,0,0,0,0.2501644922713637,-0.15427449008531063,-0.05328010089983718,1.2421875,0.022883915890983264,0,1,1,1,0,0,0,0,,
0,1515.0773588104284,,,,0,0.03515625,-0.9609375,-0.05633165496945061,0.031603272440080966,23.244908301147394,0.013390164953581696,0,0,0.3112531564832441,0,0,0,0,0.2501644922713637,-0.15427449008531063,-0.05368783150067853,1.240234375,0.022743664532999475,0,1,1,1,0,0,0,0,,
0.026999999999534337,1523.2394102169565,,,,0,0.078125,-0.998046875,-0.05633165496945061,0.031603272440080966,23.244922509134234,0.014156031545489611,0,0,0.32905585631176576,0,0,0,0,0.2501644922713637,-0.15427449008531063,-0.05368783150067853,1.240234375,0.022708983046727305,0,1,1,1,0,0,0,0,,
0.0499949999996461,1532.0223134985392,,,,0,0.025390625,-0.953125,-0.05633165496945061,0.031603272440080966,23.244946509131708,0.01375252929484816,0,0,0.31967680782401225,0,0,0,0,0.2501644922713637,-0.15427449008531063,-0.05368783150067853,1.240234375,0.02262306113978596,0,1,1,1,0,0,0,0,,
0.07399999999953434,1538.6031354199956,,,,0,0.064453125,-0.986328125,-0.0563406291084443,0.031603272440080966,23.24460496227458,0.013730983294971022,0,0,0.31917128243519277,0,0,0,0,0.2501011750029281,-0.1542523317454971,-0.05368783150067853,1.240234375,0.022555272501946,1,1,1,1,0,0,0,0,,
0.0989949999996461,1546.1157785755966,,,,0,0.0390625,-0.96484375,-0.0563406291084443,0.031603272440080966,23.24429987689577,0.012649075512465302,0,0,0.29401890437724254,0,0,0,0,0.2501011750029281,-0.1542523317454971,-0.05368783150067853,1.240234375,0.022427902086223472,0,1,1,1,0,0,0,0,,
0.12399500000011175,1553.9302724965285,,,,0,0.025390625,-0.953125,-0.0563406291084443,0.031603272440080966,23.244450311668693,0.012806514031698857,0,0,0.297680379075512,0,0,0,0,0.2501011750029281,-0.1542523317454971,-0.05368783150067853,1.240234375,0.022359874535817337,0,1,1,1,0,0,0,0,,
0.15299500000011176,1562.0432034152104,,,,0,0.05859375,-0.99609375,-0.0563406291084443,0.03096441788651088,23.243757685029557,0.038967531679814815,0,0,0.9057518639493284,0,0,0,0,0.2501011750029281,-0.1542523317454971,-0.05299926360479641,1.240234375,0.023698412264779645,0,1,1,1,0,0,0,0,,
0.1759949999996461,1571.3835655737244,,,,-0.017578125,0.1015625,-1.013671875,-0.0563406291084443,0.03096441788651088,23.239847523942547,0.16784781369352775,0,0,3.900757597464701,0,0,0,0,0.2501011750029281,-0.1542523317454971,-0.05299926360479641,1.240234375,0.030766954302773097,0,1,1,1,0,0,0,0,,
0.201,1577.9069256575845,,,,0.125,0.076171875,-0.931640625,-0.0563406291084443,0.03096441788651088,23.235589631788393,0.29326650589719394,0,0,6.8142201837756495,0,0,0,0,0.2501011750029281,-0.1542523317454971,-0.05299926360479641,1.24609375,0.0386019323868112,0,1,1,1,0,0,0,0,,
