Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State 1,Pin State 2,Pin State 3,Pin State 4,Debug 0,Debug 1,Debug 2,Debug 3,App message,
0,1500,,,,0,0.076171875,-0.998046875,-0.043397188683430385,0.027218000727050867,23.20038735147278,0.024343815010758885,0,0,0.5647859378622037,0,0,0,0,0.27967443309996065,-0.12848391306679735,-0.0489613138615094,1.240234375,0.035166405627286235,0,1,1,1,0,0,0,0,,
0,1516.8237910002324,,,,0,0.044921875,-0.970703125,-0.043397188683430385,0.027218000727050867,23.20034063618555,0.022801308719150093,0,0,0.5289981292351098,0,0,0,0,0.27967443309996065,-0.12848391306679735,-0.0489613138615094,1.240234375,0.03490824778245427,0,1,1,1,0,0,0,0,,
0.02599500000057742,1526.9065189226178,,,,0,0.06640625,-0.98828125,-0.043397188683430385,0.027218000727050867,23.200726280646403,0.02359123891226611,0,0,0.5473338766248205,0,0,0,0,0.27967443309996065,-0.12848391306679735,-0.0489613138615094,1.240234375,0.03485614424094674,0,1,1,1,0,0,0,0,,
0.054,1537.7830382341344,,,,0,0.013671875,-0.94140625,-0.04343947734654302,0.027218000727050867,23.20067681893846,0.023446865326665733,0,0,0.5439831448611456,0,0,0,0,0.27950322422357227,-0.12849837411697843,-0.0489613138615094,1.240234375,0.03475668013069111,0,1,1,1,0,0,0,0,,
0.07699500000057742,1550.840342332997,,,,0,0.06640625,-0.98828125,-0.04343947734654302,0.027218000727050867,23.200752520302625,0.024603764687400442,0,0,0.5708258555801385,0,0,0,0,0.27950322422357227,-0.12849837411697843,-0.0489613138615094,1.240234375,0.034730581375946645,0,1,1,1,0,0,0,0,,
0.103,1561.387765674437,,,,0,0.05078125,-0.9765625,-0.04343947734654302,0.02710126359603616,23.200864919291064,0.023866600514127256,0,0,0.5537257746109492,0,0,0,0,0.27950322422357227,-0.12849837411697843,-0.048835492670715776,1.240234375,0.03460834865673146,0,1,1,1,0,0,0,0,,
0.12599500000057742,1574.5535529917563,,,,-0.01171875,0.0625,-0.966796875,-0.04343947734654302,0.02710126359603616,23.198360241043808,0.09882984742292544,0,0,2.2926904030844195,0,0,0,0,0.27950322422357227,-0.12849837411697843,-0.048835492670715776,1.240234375,0.038548526324023946,0,1,1,1,0,0,0,0,,
0.15099500000057742,1586.2740143728233,,,,0.078125,0.0078125,-1.01953125,-0.04343947734654302,0.02710126359603616,23.193956568497814,0.23176808873938048,0,0,5.375618984184938,0,0,0,0,0.27950322422357227,-0.12849837411697843,-0.048835492670715776,1.240234375,0.046187938389450345,0,1,1,1,0,0,0,0,,
0.17600000000046567,1600.2205111985886,,,,-0.0859375,0.03515625,-0.78515625,-0.04330655896667787,0.02710126359603616,23.19070628938507,0.34394733277666,0,0,7.976381573440909,0,0,0,0,0.28022096183041434,-0.12862083004998362,-0.048835492670715776,1.244140625,0.053688464726719065,1,1,1,1,0,0,0,0,,
0.201,1616.0070017127327,,,,0.0859375,0.3203125,-1.232421875,-0.04330655896667787,0.02710126359603616,23.189878570115333,0.3707579561692911,0,0,8.597831982470003,0,0,0,0,0.28022096183041434,-0.12862083004998362,-0.048835492670715776,1.259765625,0.05740483952972486,0,1,1,1,0,0,0,0,,
